"","PID","county","state","area","poptotal","percwhite","percblack","percamerindan","percasian","percother"
"1",561,"ADAMS","IL",0.052,66090,96.7120593,2.57527614,0.14828264,0.37675897,0.18762294
"2",562,"ALEXANDER","IL",0.014,10626,66.3843403,32.9004329,0.1788067,0.45172219,0.08469791
"3",563,"BOND","IL",0.022,14991,96.5712761,2.86171703,0.23347342,0.10673071,0.22680275
"4",564,"BOONE","IL",0.017,30806,95.2541713,0.41225735,0.14932156,0.48691813,3.69733169
"5",565,"BROWN","IL",0.018,5836,90.1987663,9.37285812,0.23989034,0.08567512,0.10281014
"6",566,"BUREAU","IL",0.05,35688,98.5121049,0.14010312,0.18213405,0.54640215,0.61925577
"7",567,"CALHOUN","IL",0.017,5322,99.5490417,0.01878993,0.15031943,0.28184893,0
"8",568,"CARROLL","IL",0.027,16805,98.2981256,0.6605177,0.1785183,0.36298721,0.49985123
"9",569,"CASS","IL",0.024,13437,99.6055667,0.1190742,0.0595371,0.17116916,0.04465282
"10",570,"CHAMPAIGN","IL",0.058,173025,84.6733131,9.57029331,0.19130183,4.64268169,0.92241006
"11",571,"CHRISTIAN","IL",0.042,34418,99.2968795,0.23824743,0.14817828,0.25858562,0.05810913
"12",572,"CLARK","IL",0.03,15921,99.5038,0.06281012,0.16330632,0.22611645,0.04396709
"13",573,"CLAY","IL",0.028,14460,99.6058091,0.02766252,0.1175657,0.20055325,0.04840941
"14",574,"CLINTON","IL",0.029,33944,96.2997879,3.00789536,0.14140938,0.30638699,0.24452039
"15",575,"COLES","IL",0.03,51644,97.159399,1.79110836,0.17814267,0.66028968,0.21106034
"16",576,"COOK","IL",0.058,5105067,62.7797245,25.8007779,0.20154486,3.69368316,7.52426951
"17",577,"CRAWFORD","IL",0.026,19464,99.1574188,0.32367448,0.17468146,0.24660912,0.09761611
"18",578,"CUMBERLAND","IL",0.02,10670,99.5970009,0.04686036,0.05623243,0.24367385,0.05623243
"19",579,"DE KALB","IL",0.038,77932,93.6303444,2.65487861,0.1578299,2.24683057,1.31011651
"20",580,"DE WITT","IL",0.023,16516,99.2189392,0.15136837,0.22402519,0.2603536,0.14531364
"21",581,"DOUGLAS","IL",0.025,19464,99.054665,0.08220304,0.09761611,0.21064529,0.55487053
"22",582,"DU PAGE","IL",0.02,781666,91.4591398,1.97808271,0.12307047,5.07045209,1.3692549
"23",583,"EDGAR","IL",0.036,19595,99.3569788,0.3470273,0.12248022,0.12248022,0.05103343
"24",584,"EDWARDS","IL",0.014,7440,99.4758065,0.08064516,0.10752688,0.25537634,0.08064516
"25",585,"EFFINGHAM","IL",0.028,31704,99.4290941,0.03785011,0.14193793,0.29964673,0.09147111
"26",586,"FAYETTE","IL",0.044,20893,96.4342124,2.86698894,0.19145168,0.16752022,0.33982674
"27",587,"FORD","IL",0.03,14275,99.17338,0.30122592,0.09807356,0.28021016,0.14711033
